,lemma,en,type,pos,de,note
120,-lən,SG<2SG,suffix,Verb,_,_
121,-ləɣt,MOM,suffix,Verb,MOM,Riese 2001
122,-m,PTCP.PST,suffix,Non-finite verbal forms,_,_
123,-m,MIR.PST,suffix,Verb,MIR.PST,_
124,-m,1SG,suffix,Verb,1SG,_
125,-m,SG<1SG,suffix,Noun,SG<1SG,_
126,-mat,MOM,suffix,Verb,MOM,_
127,-me,_,suffix,_,_,_
128,-men,_,suffix,_,_,_
129,-meːn,1DU,suffix,Verb,1DU,_
130,-mt,MOM,suffix,Verb,MOM,_
131,-n,SG<2DU,suffix,Noun,SG<2DU,"Variant ənən: Liimola, Matti (1963): Zur historischen Formenlehre des Wogulischen. I: Flexion der Nomina. Helsinki (MSFOu 127), 223."
132,-n,2SG,suffix,Verb,_,_
133,-n,SG<2SG,suffix,Noun,SG<2SG,_
134,-n,DLAT,suffix,Noun,DLAT,_
135,-ne,PTCP.PRS,suffix,Non-finite verbal forms,PTCP.PRS,_
136,-ne,MIR.PRS,suffix,Verb,MIR.PRS,_
137,-nen,PL<3DU,suffix,Noun,PL<3DU,_
138,-nuw,DEG,suffix,Adjective,DEG,_
139,-nuw,COND,suffix,Verb,COND,_
140,-nuːw,_,suffix,_,_,_
141,-nǝl,_,suffix,_,_,_
142,-nə,_,suffix,_,_,_
143,-nəl,ABL,suffix,Noun,ABL,_
144,-nən,PL<2PL,suffix,Noun,PL<2PL,_
145,-nən,_,suffix,_,_,_
146,-os,_,suffix,_,_,_
147,-oːs,_,suffix,_,_,_
148,-p,ADJZR,suffix,Adjective,_,_
149,-pa,_,suffix,_,_,_
150,-rasʲ,_,suffix,_,_,_
151,-risʲ,PREC,suffix,Verb,PREC,_
152,-risʲ,DIM,suffix,Noun,DIM,_
153,-s,PST,suffix,Verb,PST,_
154,-s,MOM,suffix,Verb,MOM,_
155,-sow,DIM,suffix,Substantive,DIM,_
156,-t,_,suffix,_,_,_
157,-t,PL,suffix,Noun,PL,_
158,-t,CAUS,suffix,Verb,CAUS,_
159,-t,LOC,suffix,Noun,LOC,_
160,-t,3PL,suffix,Verb,3PL,_
161,-t,SG<3SG,suffix,Verb,SG<3SG,_
162,-tal,ABE,suffix,Adjective,_,_
163,-tal,_,suffix,_,_,_
164,-taːl,ABE,suffix,Adjective,ABE,_
165,-te,SG<3SG,suffix,Noun,SG<3SG,_
166,-te,SG<3SG,suffix,Verb,SG<3SG,_
167,-ten,_,suffix,_,_,_
168,-ten,3DU,suffix,Postposition,3DU,_
169,-teːn,SG<3DU,suffix,Verb,SG<3DU,_
170,-tt,_,suffix,Verb,_,_
171,-tə,_,suffix,_,_,_
172,-tət,_,suffix,_,_,_
173,-tʲe,SG<3SG,suffix,Verb,_,_
174,-tʲe,_,suffix,_,_,_
175,-tʲeː,_,suffix,_,_,_
176,-tʲeː,_,suffix,_,_,_
177,-ujaɣ,_,suffix,_,_,_
178,-ujaɣm,_,suffix,_,_,_
179,-ut,VZER,suffix,Verb,_,_
180,-ut,_,suffix,_,_,_
181,-uw,SG<1PL,suffix,Noun,SG<1PL,_
182,-uwə,_,suffix,_,_,_
183,-uŋkʷe,INF,suffix,Infinitive,INF,_
184,-w,1PL,suffix,Verb,1PL,_
185,-we,PASS,suffix,Verb,PASS,_
186,-weː,_,suffix,_,_,_
187,-ŋŋ,_,suffix,_,_,_
188,-əl,INST,suffix,Noun,INST,_
189,-əln,_,suffix,_,_,_
190,-ən,_,suffix,_,_,_
191,-ən,SG<2PL,suffix,Noun,SG<2PL,"Variant ənən: Liimola, Matti (1963): Zur historischen Formenlehre des Wogulischen. I: Flexion der Nomina. Helsinki (MSFOu 127), 223."
192,-əntaɣ,_,suffix,_,_,_
193,-əntiɣ,REITNUM,suffix,Reiterative numerals,REITNUM,_
194,-ənən,PL<2DU,suffix,Verb,PL<2DU,_
195,-ənən,PL<2SG,suffix,Noun,PL<2SG,_
196,-ənʲsʲ,_,suffix,_,_,_
197,-əŋ,PROPR,suffix,Adjective,PROPR,_
198,-əɣ,TRNS,suffix,Noun,TRNS,_
199,-əɣ,3DU,suffix,Verb,_,_
200,-əɣp,MOM,suffix,Verb,MOM,_
201,-əɣt,_,suffix,_,_,_
202,-ɣ,DU,suffix,Noun,DU,_
203,-ɣamen,DU<1PL,suffix,Noun,DU<1PL,_
204,-ɣen,DU<3DU,suffix,Noun,DU<3DU,_
205,-ɣm,_,suffix,_,_,_
206,-ɣum,_,suffix,_,_,_
207,-ɣəm,_,suffix,_,_,_
208,-ɣən,IMP<DU,suffix,Verb,_,_
209,-ɣən,_,suffix,_,_,_
210,=li,if,enclitic,Particle,ob,_
211,=mos,continual,enclitic,Adverb,fortwährend,_
212,=sup,part,enclitic,Substantive,Teil,_
213,a,if,stem,Question particle,ob,_
214,a,but,stem,Coordinating conjunction,aber,_
215,a-xa-xa,hahaha (laugh),stem,Interjection,hahaha (Lachen),_
216,ai,_,stem,_,_,_
217,aj,drink,stem,Verb,trinken,_
218,ajaŋ xum,_,phrase,_,_,_
219,ajaːŋ xum,helper,phrase,Substantive,Gehilfe,_
220,ajj,_,stem,_,_,_
221,ajnat,escape,stem,Verb,entkommen,_
222,ak,_,stem,_,_,_
223,aki,uncle,stem,Substantive,Onkel,_
224,akj,_,stem,_,_,_
225,akw,_,stem,_,_,_
226,akw,_,stem,_,_,_
227,akw,_,stem,_,_,_
228,akw ekwa,_,stem,_,_,_
229,akw mat,_,phrase,_,_,_
230,akw maːt,_,stem,_,_,_
231,akw nakt,once,phrase,Adverb,einmal,_
232,akwan,together,stem,Adverb,zusammen,_
233,akwat,together,stem,Adverb,beisammen,_
234,akwmat,at once,stem,Particle,auf einmal,_
235,akwta,same,stem,Adjective,derselbe,_
236,akwxurip,alike,stem,Adjective,gleich,_
237,akʷ,one,stem,Cardinal numeral,ein,Balandin/Vakhrusheva 1958
238,akʷ,_,stem,_,_,_
239,akʷ ert,_,phrase,_,_,_
240,akʷ eːrt,once,phrase,Adverb,einmal,Balandin/Vakhrusheva 1958
241,akʷ jot,together,phrase,Adverb,zusammen,
242,akʷ mat,_,phrase,_,_,_
243,akʷ mat,something,phrase,Indefinite pronoun,irgendetwas,_
244,akʷ mus,constantly,phrase,Adverb,fortwährend,_
245,akʷ tuw,just there,phrase,Adverb,eben dorthin,_
246,akʷa,_,stem,_,_,_
247,akʷa,_,stem,_,_,_
248,akʷaiɣ,_,stem,_,_,_
249,akʷan,together,stem,Adverb,zusammen,Balandin/Vakhrusheva 1958
250,akʷaəɣ,_,stem,_,_,_
251,akʷaɣ,continually,stem,Adverb,fortwährend,_
252,akʷe ekʷa,_,phrase,Proper Noun,_,_
253,akʷen,_,stem,_,_,_
254,akʷert,_,phrase,_,_,_
255,akʷeːrt,_,phrase,_,_,_
256,akʷj,_,stem,_,_,_
257,akʷjot,together,stem,Adverb,zusammen,_
258,akʷmatert,_,phrase,_,_,_
259,akʷmateːrt,_,phrase,_,_,_
260,akʷmateːrtn,once,phrase,Adverb,einmal,_
261,akʷmeːkʷ,_,phrase,_,_,_
262,akʷta,same,phrase,Adverb,derselbe,_
263,akʷtox,just as,phrase,Adverb,ebenso,_
264,al,kill,stem,Verb,töten,_
265,ala,_,stem,_,_,_
266,ala,_,stem,_,_,_
267,ala,close,stem,Adjective,nah,_
268,alamut,prey,phrase,Substantive,Beute,_
269,alaɣ,with big power,stem,Adverb,mit großer Kraft,_
270,alisʲl,_,stem,_,_,_
271,alm,carry,stem,Verb,tragen,_
272,almaj,raise,stem,Verb,heben,_
273,alpi,body,stem,Substantive,Körper,_
274,alpəl,in the morning,stem,Adverb,früh,_
275,alsl,_,stem,_,_,_
276,alsʲl,hunt,stem,Verb,jagen,_
277,alɣal,up the river,stem,Adverb,flußaufwärts,_
278,alɣalʲ,_,stem,_,_,_
279,am,1SG,stem,Personal pronoun,1SG,Balandin/Vakhrusheva 1958
280,aman,whether,stem,Question particle,ob,_
281,amanər,who,stem,Interrogative pronoun,Wer,_
282,amkem,_,stem,_,_,_
283,amki,1SG,stem,Emphatic personal pronoun,1SG,_
284,amkkem,1SG,stem,Solitary personal pronouns,1SG,_
285,amp,_,stem,_,_,_
286,amttem,1SG,stem,Emphatic personal pronoun,1SG,_
287,amtʲi,_,stem,_,_,_
288,an,_,stem,_,_,_
289,anglʲijskʲij,[Ru. English],stem,Adjective,[Ru. englisch],_
290,aniɣl,kiss,stem,Verb,küssen,_
291,anum,1SG.OBL,stem,Personal pronoun,1SG.OBL,_
292,anumna,1SG.DLAT,stem,Personal pronoun,1SG.DLAT,_
293,anʲ,now,stem,Adverb,jetzt,Balandin/Vakhrusheva 1958
294,anʲ,that,stem,Demonstrative,jener,_
295,anʲa,heap,stem,Substantive,Haufen,_
296,anʲamow,Anʲamow,stem,Proper Noun,Anʲamow,_
297,anʲiɣl,_,stem,_,_,_
298,anʲiɣlaxt,kiss each other,stem,Verb,einandner küssen,_
299,anʲmaləŋ,now,stem,Particle,"indessen, nun",_
300,anʲmuːnt,recently,phrase,Particle,unlängst,_
301,apiɣ,_,stem,_,_,_
302,apsʲi,_,stem,_,_,_
303,apəɣ,grandson,stem,Substantive,Enkel,_
304,apɣ,_,stem,_,_,_
305,arasʲ,hearth,stem,Substantive,Feuerherd,_
306,ariɣt,remain,stem,Verb,übrigbleiben,_
307,arpi,fish weir,stem,Substantive,Fischwehr,_
308,artm,manage,stem,Verb,gelingen,_
309,arəɣt,stay,stem,Verb,bleiben,_
310,arɣen,_,stem,_,_,_
311,arɣen,copper,stem,Substantive,Kupfer,_
312,arɣeːn,too much,stem,Particle,zuviel,_
313,arɣən,_,stem,_,_,_
314,as,hole,stem,Substantive,Loch,_
315,ast,_,stem,_,_,_
316,asʲ,_,stem,_,_,_
317,at,collect,stem,Verb,sammeln,_
318,at,smell,stem,Substantive,Geruch,_
319,at,five,stem,Cardinal numeral,fünf,_
320,at,NEG,stem,Negation Particle,NEG,Balandin/Vakhrusheva 1958
321,at pəl,not even,phrase,Negation Particle,nun nicht,_
322,atim,_,stem,_,_,_
323,atʲi,_,stem,_,_,_
324,atʲi,NEG,stem,Negation Particle,NEG,_
325,atʲim,NEG.EXIST,stem,Negative existential marker,NEG.EXIST,_
326,atʲiŋk,otherwise,stem,Adverb,anderswie,_
327,aul,_,stem,_,_,_
328,aw,_,stem,_,_,_
329,awi,_,stem,_,_,_
330,axt toul,crop of a bird,phrase,Substantive,Kropf beim Vogel,_
331,axt toul xurəɣ,crop,phrase,Substantive,Kropf,_
332,aŋk,mother,stem,Substantive,Mutter,_
333,aŋkʷ,_,stem,_,_,_
334,aŋkʷal,pole,stem,Substantive,Pfosten,Balandin/Vakhrusheva 1958
335,aŋkʷatal,look,stem,Verb,schauen,_
336,aŋx,take off,stem,Verb,ausziechen,_
337,aɣa,ouch,stem,Interjection,au,_
338,aɣaɣi,_,stem,_,_,_
339,aɣi,_,stem,_,_,_
340,aɣt,believe,stem,Verb,glauben,_
341,aɣə,_,stem,_,_,_
342,aː,hey,stem,Interjection,he,_
343,aːjiŋ xum piɣ,squire,phrase,Substantive,Knappe,_
344,aːkʷ,aunt,stem,Substantive,Tante,_
345,aːkʷeːkʷ,_,stem,_,_,_
346,aːkʷeːkʷa,grandmother,phrase,Proper Noun,Großmutter,_
347,aːkʷjeːkʷ,_,stem,_,_,_
348,aːkʷmeːkʷ,_,stem,_,_,_
349,aːla,roof,stem,Substantive,Dach,_
350,aːla,hardly,stem,Adverb,mit Mühe und Not,_
351,aːlim,manage,stem,Verb,schaffen,_
352,aːlma,grasp,stem,Verb,nehmen,_
353,aːlmaj,_,stem,_,_,_
354,aːlmt,carry,stem,Verb,schleppen,_
355,aːləmpaːl,other side,stem,Adverb,die andere Seite,_
356,aːmart,scoop out,stem,Verb,schöpfen,_
357,aːmp,dog,stem,Substantive,Hund,_
358,aːni,cup,stem,Substantive,Schüssel,_
359,aːnum,1SG.OBL,stem,Personal pronoun,1SG.OBL,_
360,aːnəmn,_,stem,_,_,_
361,aːnʲ,_,stem,_,_,_
362,aːpa,hanging cradle,stem,Substantive,hängende Wiege,_
363,aːpiɣ,_,stem,_,_,_
364,aːpsʲi,younger brother,stem,Substantive,jüngerer Bruder,_
365,aːpər,agility,stem,Substantive,Gewandtheit,_
366,aːrt,manner,stem,Substantive,Art und Weise,_
367,aːrtal,attempt,stem,Verb,probieren,_
368,aːs,Ob,stem,Proper Noun,Ob,_
369,aːs jaːs,river channel of the Ob,phrase,Substantive,Fahrrinne des Ob,_
370,aːs waːta,shores of the Ob,phrase,Substantive,Ob-Ufer,_
371,aːst,get ready,stem,Verb,fertig werden,_
372,aːsʲ,father,stem,Substantive,Vater,_
373,aːt,hair,stem,Substantive,Haar,_
374,aːti,_,stem,_,_,_
375,aːtʲim,NEG.EXIST,stem,Negation Particle,NEG.EXIST,_
376,aːwi,door,stem,Substantive,Тür,_
377,aːwi xaːp,doorstep,phrase,Substantive,Türschwelle,_
378,aːxt,gap,stem,Substantive,Lücke,_
379,aːxtas,_,stem,_,_,_
380,aːxwtas,stone,stem,Substantive,Stein,_
381,aːxʷtas,stone,stem,Substantive,Stein,_
382,aːŋkrip,wooden wall,stem,Substantive,Bretterwand,_
383,aːŋkʷal,trunk,stem,Substantive,Stamm,_
384,aːŋkʷat,take a look,stem,Verb,blicken,_
385,aːŋxa,snow grouse,stem,Substantive,Schneehuhn,_
386,aːɣi,daughter,stem,Substantive,Tochter,Balandin/Vakhrusheva 1958
387,aːɣj,_,stem,_,_,_
388,dʲemokratʲii,[Ru. democracy],stem,Substantive,[Ru. Demokratie],_
389,dʲeputat,[Ru. deputy],stem,Substantive,[Ru. Deputant],_
390,ej,_,stem,_,_,_
391,ekwa,_,stem,_,_,_
392,ekʷa,_,stem,_,_,_
393,ekʷa ojka,husband and wife,stem,Substantive,Mann und Frau,
394,ekʷa piɣrisʲ,_,phrase,_,_,_
395,ekʷa pərisʲ,_,phrase,_,_,_
396,el,_,stem,_,_,_
397,ela min,continue,phrase,Verb,weiter gehen,_
398,ela ujməɣt,swim,phrase,Verb,schwimmen,_
399,ela=,further,proclitic,Preverb,weiter,_
400,elanuw,further,stem,Adverb,weiter,_
401,elanuːw,further,stem,Adverb,weiter,_
402,eli xon,far away,phrase,Adjective,_,_
403,elipal,_,stem,_,_,_
404,elipalt,_,phrase,_,_,_
405,elit,ahead,stem,Adverb,vorwärts,_
406,elmxolas,_,stem,_,_,_
407,eln,_,stem,_,_,_
408,elnuw,_,stem,_,_,_
409,eləmxolas,_,stem,_,_,_
410,elən,_,stem,_,_,_
411,elən-kol,_,stem,_,_,_
412,elʲektronʲika,[Ru. electronics],stem,Substantive,[Ru. Elektronik],_
413,entap,_,stem,_,_,_
414,entxat,_,stem,_,_,_
415,er,_,stem,_,_,_
416,eriŋ,_,stem,_,_,_
417,ertam,maybe,stem,Particle,vielleicht,_
418,erupt,respect,stem,Verb,respektieren,Frau Skribnik
419,erəŋ,maybe,stem,Adverb,vielleicht,_
420,erəŋəsʲ,_,stem,_,_,_
421,erɣ,song,stem,Substantive,Lied,_
422,exe,ah,stem,Interjection,ach,_
423,eŋ,chin,stem,Substantive,Kinn,_
424,eːkwa,_,stem,_,_,_
425,eːkʷ aːsʲ,(married) couple,phrase,Substantive,Ehepaar,_
426,eːkʷa,married woman,stem,Substantive,verheiratete Frau,
427,eːkʷa piɣrisʲ,Eːkʷa Piɣrisʲ,phrase,Proper Noun,Eːkʷa Piɣrisʲ,_
428,eːkʷa piːrisʲ,_,phrase,_,_,_
429,eːl suns,look ahead,phrase,Verb,nach vorne schauen,_
430,eːl taːrmat,jump forward,phrase,Verb,vorspringen,_
431,eːl uːrmiɣt,hold,phrase,Verb,halten,_
432,eːl=,forwards,proclitic,Preverb,weiter,_
433,eːla suns,_,phrase,_,_,_
434,eːla=,further,proclitic,Preverb,weiter,_
435,eːlalʲ,further,stem,Adverb,weiter,_
436,eːlipal,_,stem,_,_,_
437,eːlipaːl,in front of,phrase,Postposition,vor,_
438,eːlipaːln,to the front of,phrase,Postposition,vor,_
439,eːlipaːlt,in front of,phrase,Postposition,vor,_
440,eːlmxolas,_,stem,_,_,_
441,eːlmxoːlas,_,stem,_,_,_
442,eːlmxoːlase,_,stem,_,_,_
443,eːlmxoːləs,_,stem,_,_,_
444,eːln,_,stem,_,_,_
445,eːləmxolas,human,phrase,Substantive,Mensch,_
446,eːlən,ahead,stem,Adverb,weiter,_
447,eːnt,gird,stem,Verb,gürten,_
448,eːntap,belt,stem,Substantive,Gürtel,_
449,eːntapaxt,belt oneself,stem,Verb,sich umgürten,_
450,eːntxat,gird oneself,stem,Verb,sich gürten,_
451,eːr,love,stem,Verb,lieben,_
452,eːrmiɣl,to be needed,stem,Verb,brauchen,_
453,eːrne,useful,stem,Adjective,nützlich,_
454,eːrt,when,stem,Adverb,wenn,_
455,eːrəŋ,_,stem,_,_,_
456,eːrəŋəsʲ,kind,stem,Adjective,lieb,_
457,eːt,night,stem,Substantive,Nacht,_
458,eːti,_,stem,_,_,_
459,eːti palaiɣ,in the evening,phrase,Adverb,gegen Abend,_
460,eːtpos,moon,stem,Substantive,Mond,_
461,eːŋkaj,servant,stem,Substantive,Dienerin,_
462,fomisʲ,Fomisʲ,stem,Proper Noun,Fomisʲ,_
463,fʲinno-ugorskʲij,[Ru. Finno-Ugric],stem,Adjective,[Ru. finnougrisch],_
464,fʲinnougrovʲedʲenʲie,[Ru. Finnougristics],phrase,Substantive,[Ru. Finnougristik],_
465,fʲinskʲij,[Ru. Finnish],stem,Adjective,[Ru. finnisch],_
466,gerzon,Gerson,stem,Proper Noun,Gerson,_
467,gosudarstvʲennɨj,[Ru. state],stem,Adjective,[Ru. staatlich],_
468,gʲermanʲija,[Ru. Germany],stem,Proper Noun,[Ru. Deutschland],_
469,hon,_,stem,_,_,_
470,hum,_,stem,_,_,_
471,i,also,stem,Particle,auch,_
472,ilʲpəlʲ,recently,stem,Adverb,neulich,_
473,is,_,stem,_,_,_
474,isiɣl,get warm,stem,Verb,warm werden,_
475,isnas,window,stem,Substantive,Fenster,_
476,issəlt,boil,stem,Verb,aufkochen,_
477,isum,hot,stem,Adjective,heiß,_
478,itʲi,_,stem,Adverb,_,_
479,itʲim,dusk,stem,Verb,dämmern,_
480,itʲiml,_,stem,_,_,_
481,iŋ,still,stem,Adverb,noch,_
482,iŋət,not yet,stem,Negation Particle,noch nicht,_
483,iːtʲi,at night,stem,Adjective,abends,_
484,ja,_,stem,_,_,_
485,ja,well,stem,Interjection,nun,_
486,ja,and,stem,Coordinating conjunction,und,_
487,ja ti,well,stem,Particle,so,_
488,ja tolx,head of a river,phrase,Substantive,Quellengebiet,_
489,jaj,_,stem,_,_,_
490,jakt,cut,stem,Verb,schneiden,_
491,jaktap,slit,stem,Verb,schneiden,_
492,jaktəl,rapids,stem,Substantive,Stromschnelle,_
493,jal,go around,stem,Verb,herumgehen,Balandin-Vakhusheva 151;  Munkácsi-Kálmán 143; Kálmán 1963 (ChrVog) 79
494,jal,_,stem,_,_,_
495,jalan xuj,_,phrase,_,_,_
496,jalanʲ,forest spirit,stem,Substantive,ein im Wald spukendes Wesen,_
497,jalas,go around,stem,Verb,herumgehen,_
498,jalpəŋ,sacred,stem,Adjective,heilig,"Munkácsi/Kálmán, 144b; "
499,jaltapt,revive,stem,Verb,wiederbeleben,_
500,janas,separate,stem,Adjective,abgesondert,_
501,janim,_,stem,_,_,_
502,janit,_,stem,_,_,_
503,janiteːtəl,in its whole extent,stem,Adjective,in seiner ganzen Größe,_
504,janitl,extend,stem,Verb,vergrößern,
505,janitəl,along,stem,Postposition,entlang,"Balandin/Vahrusheva, 151b"
506,janiɣ,big,stem,Adjective,groß,_
507,janiɣm,grow,stem,Verb,wachsen,_
508,janiɣpoːlʲ,april,phrase,Proper Noun,April,_
509,janmalt,bring up,stem,Verb,erziehen,Balandin-Vakhusheva 152;  Munkácsi-Kálmán 147; Kálmán 1963 (ChrVog) 79; 
510,janǝɣ,_,stem,_,_,_
511,janət,_,stem,_,_,_
512,janəɣ,_,stem,_,_,_
513,jat,middle,stem,Substantive,Mitte,_
514,jatel,_,stem,_,_,_
515,jatil,_,stem,_,_,_
516,jaxtəl,_,stem,_,_,_
517,jaŋk,_,stem,_,_,_
518,jaŋkeːt,gnarl,stem,Substantive,Knorren,_
519,jaɣ,father,stem,Substantive,Vater,
520,jaɣaj,_,stem,_,_,_
521,jaɣaji,_,stem,_,_,_
522,jaɣaɣ,_,stem,_,_,_
523,jaɣaɣi,_,stem,_,_,_
524,jaɣaːɣ,_,stem,_,_,_
525,jaɣaːɣi,sister,stem,Substantive,Schwester,M-K 142 a
526,jaɣpiɣ,brother,stem,Substantive,Bruder,_
527,jaː,river,stem,Substantive,Fluss,Balandin-Vakhusheva 150;  Munkácsi-Kálmán 140; Kálmán 1963 (ChrVog) 79
528,jaːl,_,stem,_,_,_
529,jaːnit,size,stem,Substantive,Größe,Balandin-Vakhusheva 151;  Munkácsi-Kálmán 147; Kálmán 1963 (ChrVog) 79
530,jaːniɣ,big,stem,Adjective,groß,_
531,jaːntaw,_,stem,_,_,_
532,jaːntew,bowstring,stem,Substantive,Bogensehne,_
533,jaːs,path,stem,Substantive,Pfad,_
534,jaːta,well,stem,Particle,wohlan,_
535,jaːtil,sweet,stem,Adjective,lieb,
536,jaːŋk,ice,stem,Substantive,Eis,_
537,jaːɣpiːɣ,_,stem,_,_,_
538,jelʲena,Elena,stem,Proper Noun,Elena,_
539,jemt,_,stem,_,_,_
540,jemtal,_,stem,_,_,_
541,jeretəl,fast,stem,Adverb,schnell,_
542,jereːtəl,_,stem,_,_,_
543,jevropʲejskʲij,[Ru. European],stem,Adjective,[Ru. europäisch],_
544,jeɣ,_,stem,_,_,_
545,jeɣpiɣ,_,stem,_,_,_
